Time,Close,CloseNDAQO,CloseDIA,CloseUSO,CloseGLD
11/24/21 11:25,467.28,464.49,465.78,465.9,461.49
11/24/21 11:30,467.18,464.49,465.63,466.05,461.7
11/24/21 11:35,467.21,464.49,465.51,466.17,461.32
11/24/21 11:40,467.03,464.49,465.56,465.64,461.23
11/24/21 11:45,467.09,465.23,466.26,465.79,461.5
11/24/21 11:50,466.73,465.33,467.06,466.04,461.63
11/24/21 11:55,466.73,465.33,466.51,466.04,461.67
11/24/21 12:00,466.43,465.33,466.53,466.01,462.04
11/24/21 12:05,466.39,465.66,466.54,466.24,462
11/24/21 12:10,466.42,465.66,466.97,466.24,461.94
11/24/21 12:15,466.37,466.05,467.34,466.14,462.1
11/24/21 12:20,467,466.05,467.1,466.09,462.38
11/24/21 12:25,466.94,466.05,467.55,466.16,463.52
11/24/21 12:30,466.95,466.05,466.98,465.95,462.87
11/24/21 12:35,467.08,466.05,467.07,465.95,461.84
11/24/21 12:40,467.28,466.12,467.39,465.93,460.86
11/24/21 12:45,467.6,466.11,467.41,465.93,461.25
11/24/21 12:50,467.6,466.06,467.18,465.89,461.49
11/24/21 12:55,467.34,466.5,467.52,465.89,460.29
11/24/21 13:00,467.12,466.37,467.91,465.82,460.45
11/24/21 13:05,467.15,466.11,468.18,465.57,459.96
11/24/21 13:10,466.91,466.11,468.43,465.8,459.77
11/24/21 13:15,466.91,466.11,468.41,465.8,460.49
11/24/21 13:20,466.97,466.29,468.06,465.61,461.01
11/24/21 13:25,466.8,466.55,468.07,465.69,460.87
11/24/21 13:30,466.97,466.46,468.23,465.71,461.09
11/24/21 13:35,466.94,466.46,468.47,465.85,460.73
11/24/21 13:40,467.06,466.46,468.3,466.13,460.78
11/24/21 13:45,466.97,466.43,468.05,466.08,460.18
11/24/21 13:50,466.55,466.21,468.1,465.81,460.23
11/24/21 13:55,466.78,466.21,467.97,465.76,459.34
11/24/21 14:00,466.73,466.28,468.38,465.97,460.01
11/24/21 14:05,466.77,466.5,468.15,465.77,459.14
11/24/21 14:10,466.93,466.63,467.94,465.53,458.49
11/24/21 14:15,466.97,466.73,467.83,465.44,458.38
11/24/21 14:20,466.73,466.51,467.98,465.2,458.95
11/24/21 14:25,466.89,466.51,468.26,464.63,458.78
11/24/21 14:30,466.99,466.37,468.27,464.69,459.69
11/24/21 14:35,467.39,466.1,468.56,464.99,459.42
11/24/21 14:40,466.36,466.51,468.62,464.89,459.16
11/24/21 14:45,466.6,466.51,468.65,464.89,458.36
11/24/21 14:50,466.13,466.59,468.56,465.05,458.93
11/24/21 14:55,465.83,466.59,468.79,465.06,459.07
11/24/21 15:00,465.98,466.33,468.83,464.98,459.88
11/24/21 15:05,466.18,466.33,468.77,465.07,459.65
11/24/21 15:10,466,466.33,468.96,465.22,459.36
11/24/21 15:15,465.93,466.47,468.84,464.6,459.85
11/24/21 15:20,465.95,466.45,468.81,465.23,460.62
